^,a1a,DLSU Laguna Campus
^,a1b,Have you ever been to Laguna Campus?
a,Group a
b,Group b
^,a1c,Which do you prefer to take your classes in?
a,Group a
b,Group b
^,a1d,"If you prefer to take your classes in Laguna Campus, why?"
a,Group a
b,Group b
^,a1e,Do you agree that the DLSU Laguna Campus can be one of the best campuses in the Philippines in the near future?
a,Group a
b,Group b
^,a1f,Are you going to recommend to the future DLSU students to take their classes in Laguna Campus in the future?
a,Group a
b,Group b
^,a1g,Please mark the same answer you have in the previous question
a,Group a
b,Group b
^,a1h,DLSU Laguna Campus Canteen
^,a1i,Have you ever been to DLSU Laguna Campus' canteen?
a,Group a
b,Group b
^,a1j,"If yes, when do you eat in the Canteen?"
a,Group a
b,Group b
^,a1k,How do you find the canteen's food quality?
a,Group a
b,Group b
^,a1l,Is the price of the food reasonable?
a,Group a
b,Group b
^,a1m,Will having more food stalls be a great idea?
a,Group a
b,Group b
^,a1n,"Please choose ""Yes"" for this question"
a,Group a
b,Group b
^,a1o,DLSU Arrows Shuttle Service
^,a1p,Do you ride the arrows shuttle?
a,Group a
b,Group b
^,a1q,Are you satisfied with the schedule of the Arrows Shuttle?
a,Group a
b,Group b
^,a1r,Have you ever been left by the Arrows Shuttle?
a,Group a
b,Group b
^,a1s,"If yes, what did you do after being left behind by the Arrows Shuttle?"
a,Group a
b,Group b
^,a1t,"If you are to rate the service of the Arrows Shuttle, what would it be?"
a,Group a
b,Group b
^,a1u,What is this survey about?
a,Group a
b,Group b
^,a1v,DLSU Enlistment
^,a1w,Can you access ANIMO.SYS during enlistment?
a,Group a
b,Group b
^,a1x,"If yes, when can you add classes during your scheduled enlistment period?"
a,Group a
b,Group b
^,a1y,How frequent do you get all the subjects you need for the incoming term?
a,Group a
b,Group b
^,a1z,Can you drop classes successfully?
a,Group a
b,Group b
^,a2a,How do you find the overall system of ANIMO.SYS?
a,Group a
b,Group b
